year	ssd	ssr	svd	svr
2016	48	52	51496682	40402790
2014	46	54	20875493	24631488
2012	55	45	49998693	32680704
2010	53	47	39130984	29110733
2008	59	41	33650061	28863067
2006	51	49	32344708	25437934
2004	45	55	44754618	39920562
2002	50	50	18956449	20626192
2000	50	50	36780875	36725431
1998	45	55	26768699	25346613
1996	45	55	23490651	24211395
1994	48	52	25234942	28613349
1992	56	44	34736076	31355972
1990	56	44	17907544	16494624
1988	55	45	35137786	31151251
1986	55	45	24347369	23126219
1984	47	53	23079278	22850493
1982	46	54	27899651	22412928
1980	47	53	30699463	26597169
1978	60	40	14362402	13520147
1976	62	38	31790526	24562431
1974	61	38	22544761	16145793
1972	57	42	17199567	19821203
1970	54	45	25402791	19326064
1968	58	42	24976660	23588832
1966	64	36	12358323	13169332
1964	68	32	30217130	22654661
1962    68  32  20832503    20245509
1960    64  36  18547250  14894867
1958    61  35  20620465  16180851
1956    51  45  22199789  21248822
1954    48  47  11402106  8839779
1952    48  48  20028738  23241687
1950    49  47  15297854  16166439
1948    54  42  12750608  9662053
1946    46  50  11369078  14984498
1944    58  37  17590770  16127651
1942    57  38  6329426   6661196
1940    66  27  19715831  19831926
